DATE,PM2.5,PM10,CO2,TEMPERATURE,HUMIDITY
2023-11-04 07:37:05,5.1,8.1,1103,65.5,53.4
2023-11-04 10:43:17,9.2,14,496,55.9,55.2
2023-11-04 10:44:17,9.3,14.2,508,55.4,62.3
2023-11-04 10:45:17,9.4,14.2,486,55.6,61.7
2023-11-04 10:46:17,8.7,13.3,453,55.7,60.5
2023-11-04 10:47:16,8.8,13,437,55.9,60.9
2023-11-04 10:48:17,8.5,13,434,56,60.3
2023-11-04 10:49:17,8.6,13.1,428,56.1,59.3
2023-11-04 10:50:17,8.3,12.8,421,56.2,57.8
2023-11-04 10:51:17,8.8,12.5,419,56,59
2023-11-04 10:52:17,8.1,12,418,56,60.1
2023-11-04 10:53:17,8.6,13.4,420,56,59.1
2023-11-04 10:54:17,8.8,13.5,418,55.8,57.4
2023-11-04 10:55:17,9.1,14.4,418,55.8,58.1
2023-11-04 10:56:17,9,13.5,416,56.1,56
2023-11-04 10:57:17,8.9,13.6,416,55.7,57.4
2023-11-04 10:58:17,9.1,13.4,415,55.6,57.9
2023-11-04 10:59:17,7.5,11.5,414,55.6,58.6
2023-11-04 11:00:17,8.9,13.4,414,55.6,58.2
2023-11-04 11:01:17,8.7,13.2,417,55.5,59.4
2023-11-04 11:02:17,9.4,14.7,418,55.3,59.9
2023-11-04 11:03:17,8.6,13.3,420,55.2,61
2023-11-04 11:04:17,8.4,12.4,421,55.2,61
2023-11-04 11:05:17,9,13.4,420,54.9,59.8
2023-11-04 11:06:17,8,12.3,420,54.9,60.1
2023-11-04 11:07:18,7.6,11.4,417,55.1,61.3
2023-11-04 11:08:17,8.5,12.8,417,55.1,62.1
2023-11-04 11:09:17,8.1,12.2,419,55.2,61.3
2023-11-04 11:10:17,8.8,13.1,423,55.4,60.5
2023-11-04 11:11:17,8.8,13.8,423,55.3,60.1
2023-11-04 11:12:17,8.3,11.9,423,55.1,59.5
2023-11-04 11:13:17,7.7,12.3,422,55.3,60.7
2023-11-04 11:14:18,8.4,12.7,421,55.3,61.1
2023-11-04 11:15:18,8.8,13.9,421,55.3,60.9
2023-11-04 11:16:17,9.1,14.1,424,55.4,61.3
2023-11-04 11:17:17,9.1,13.6,424,55.7,58.4
2023-11-04 11:18:17,9.5,13.6,422,55.6,59.8
2023-11-04 11:19:17,9.7,14.8,421,55.5,60
2023-11-04 11:20:18,9.5,14.3,420,55.8,58.1
2023-11-04 11:21:18,9.6,14.8,421,56.8,56.4
2023-11-04 11:22:18,12.1,18.9,416,57,54.8
2023-11-04 11:23:17,12.1,18.7,417,57.1,54.2
2023-11-04 11:24:17,10,15.8,420,57.4,54.4
2023-11-04 11:25:17,10.1,15.4,421,57.9,54.5
2023-11-04 11:26:17,10.2,15.6,417,59.2,52.9
2023-11-04 11:27:18,9.5,14.6,420,61.5,50.3
2023-11-04 11:28:18,9.5,15.1,421,63.5,48.2
2023-11-04 11:29:18,9.7,15.3,427,65.1,45
2023-11-04 11:30:17,9.1,14.2,427,66.5,47.8
2023-11-04 11:31:17,9.7,14.5,431,67.8,42.4
2023-11-04 11:32:17,8.5,12.9,433,68.2,42.5
2023-11-04 11:33:18,8,12,430,68.2,41.1
2023-11-04 11:34:18,8.2,12.6,432,68.9,43.4
2023-11-04 11:35:18,9.7,14.5,432,68.8,41.8
2023-11-04 11:36:18,9.4,15,432,68.1,40.6
2023-11-04 11:37:17,9.3,14.4,429,67.9,41.6
2023-11-04 11:38:17,8.3,12.6,428,67.9,41.5
2023-11-04 11:39:17,8.7,12.9,428,67.9,43.6
2023-11-04 11:40:18,9.1,13.9,427,67.6,41.5
2023-11-04 11:41:18,9.1,14.6,426,67.2,43.9
2023-11-04 11:42:18,9.1,13.2,427,66.9,43.8
2023-11-04 11:43:18,9.4,14,427,67.9,46.9
2023-11-04 11:44:17,10.1,15.8,431,68.1,45.5
2023-11-04 11:45:17,9.5,15,438,68.6,44
2023-11-04 11:46:18,9.5,14.8,442,68.7,43.2
2023-11-04 11:47:18,9.3,13.9,442,68.6,44
2023-11-04 11:48:18,10.3,15.9,444,67.8,43.7
2023-11-04 11:49:18,9.9,15.1,445,66.6,44.2
2023-11-04 11:50:18,10.6,16.2,446,65.2,45.4
2023-11-04 11:51:17,9.3,14.5,446,64.2,48.7
2023-11-04 11:52:17,9.7,14.4,454,63,47.9
2023-11-04 11:53:18,8.7,13,466,62.5,49.4
2023-11-04 11:54:18,8.8,13.5,461,62.6,50.6
2023-11-04 11:55:18,8.5,13,446,62.4,50.4
2023-11-04 11:56:18,8.6,13,442,61.8,50
2023-11-04 11:57:18,9.5,14.5,434,61.2,51.7
2023-11-04 11:58:18,9.9,14.7,435,60.8,51.9
2023-11-04 11:59:17,10.3,16,437,60.2,52.3
2023-11-04 12:00:18,11.3,17,439,59.9,53.1
2023-11-04 12:01:18,10.4,15.3,446,59.9,53.7
2023-11-04 12:02:18,10,14.8,435,60,53.3
2023-11-04 12:03:18,10.6,15.9,432,60.2,53.2
2023-11-04 12:04:18,11,16.2,432,60.4,52.7
2023-11-04 12:05:18,11.4,18.8,431,60.3,53
2023-11-04 12:06:18,10.4,14.9,435,60.4,54.9
