DATE,PM2.5,PM10,CO2,TEMPERATURE,HUMIDITY
2023-11-05 12:34:20,21.2,32.6,507,69.7,52.4
2023-11-05 12:35:20,18.4,28.1,485,70,54.3
2023-11-05 12:36:20,19.4,29.6,439,69.8,47.6
2023-11-05 12:37:20,17.9,27.6,458,69.6,48.7
2023-11-05 12:38:20,17.8,27.2,457,69.4,47.3
2023-11-05 12:39:20,19.4,29.5,463,69.6,47.1
2023-11-05 12:40:20,19.6,29.5,467,69.9,45.3
2023-11-05 12:41:20,17.4,26.3,468,69.2,45.1
2023-11-05 12:42:20,18.7,29,464,68.6,45.8
2023-11-05 12:43:20,18,27.9,459,69.1,44.5
2023-11-05 12:44:20,16.1,25.5,457,68.9,42.5
2023-11-05 12:45:20,19.8,30,462,69,44.4
2023-11-05 12:46:20,18.5,28.4,460,68.6,45.4
2023-11-05 12:47:20,18.5,28.9,462,68.3,44.6
2023-11-05 12:48:20,16.6,25.7,457,67.8,45.2
2023-11-05 12:49:20,16.3,25.1,453,67.6,47.3
2023-11-05 12:50:20,17.9,27.8,466,68.1,46.1
2023-11-05 12:51:20,16.2,24.9,465,69.4,44.7
2023-11-05 12:52:21,15.6,24.2,465,70.2,43.5
2023-11-05 12:53:20,17.5,26.7,463,69,44.6
2023-11-05 12:54:20,17.9,27.4,472,68.5,46
2023-11-05 12:55:20,16.3,24.4,468,68.2,47.2
2023-11-05 12:56:20,15.1,22.1,461,68,47.8
2023-11-05 12:57:20,16.8,26.5,463,67.6,46.7
2023-11-05 12:58:20,15.5,24.1,460,67.2,48.3
2023-11-05 12:59:21,16.1,24.1,457,67.5,44.4
2023-11-05 13:00:20,18.3,29.2,463,67.5,46.5
2023-11-05 13:01:20,16,23.6,454,67.8,46.7
2023-11-05 13:02:20,15.2,23.4,452,68,46.4
2023-11-05 13:03:20,15.1,23.5,453,68.2,44.7
2023-11-05 13:04:20,15.5,24.2,450,68,44.9
2023-11-05 13:05:21,14.7,22.4,453,67.9,45.7
2023-11-05 13:06:21,15.7,24,465,67.8,47.4
2023-11-05 13:07:20,14.7,22.7,463,68.4,46.9
2023-11-05 13:08:20,14.8,23,457,69.5,47.9
2023-11-05 13:09:20,14.9,22.9,458,70.4,45
2023-11-05 13:10:20,13.9,21.4,457,70.3,44.1
2023-11-05 13:11:21,12.8,19.8,456,70.2,43.1
2023-11-05 13:12:21,12.2,18.1,451,69.8,42.5
2023-11-05 13:13:21,13.1,20,447,69.6,43.3
2023-11-05 13:14:20,13.4,20.5,447,69,44.5
2023-11-05 13:15:20,13.4,20.9,448,68.9,42.7
2023-11-05 13:16:20,12.8,20,439,68.3,43.5
2023-11-05 13:17:20,12.8,19.8,438,68.2,41.9
2023-11-05 13:18:21,9.1,13.8,434,67.6,41.9
2023-11-05 13:19:21,11.9,18.7,435,67.3,44.9
2023-11-05 13:20:21,12.4,18.9,433,67,45.6
2023-11-05 13:21:20,11.9,18.5,435,66.9,45.2
2023-11-05 13:22:20,12.9,20.8,436,67,44.8
2023-11-05 13:23:20,12.6,19,437,66.4,46.8
2023-11-05 13:24:21,10.4,16.5,440,66.8,45.5
2023-11-05 13:25:21,11.1,17.4,440,67.1,45.1
2023-11-05 13:26:21,11.2,17.4,440,68.6,44.9
2023-11-05 13:27:21,10.6,16.2,447,70.1,45
2023-11-05 13:28:20,11,17.7,449,71.3,38.9
2023-11-05 13:29:20,11.4,17.8,450,71.4,41.5
2023-11-05 13:30:20,12.2,18.7,453,72.2,40.9
2023-11-05 13:31:21,12.2,18.8,458,72.9,40
2023-11-05 13:32:21,10.8,16.1,460,73.8,39.9
2023-11-05 13:33:21,10.2,15.6,458,74.3,36.5
2023-11-05 13:34:21,10.7,16.3,459,75.8,37.8
2023-11-05 13:35:21,9.3,14.6,459,77.4,36.1
2023-11-05 13:36:20,9.3,13.8,459,79.3,34.5
2023-11-05 13:37:21,10.6,16.4,466,80.1,34.6
2023-11-05 13:38:21,9.7,14.9,467,82.1,33.3
2023-11-05 13:39:21,10.3,16,467,83.9,33.1
2023-11-05 13:40:21,9.8,14.8,465,84.3,32.4
2023-11-05 13:41:21,8.5,13.3,465,83,32.6
2023-11-05 13:42:21,11.1,16.9,463,81.1,32.3
2023-11-05 13:43:20,9.9,15.5,462,80.6,34.3
2023-11-05 13:44:21,9.3,14.6,459,79.4,32.7
2023-11-05 13:45:21,9.3,14.1,459,80,34.9
2023-11-05 13:46:21,9.6,14.5,459,80.9,33.8
2023-11-05 13:47:21,9.3,14,463,82.7,33.1
2023-11-05 13:48:21,8.8,13,465,83.2,33.1
2023-11-05 13:49:21,10,15.5,468,82.3,33.2
2023-11-05 13:50:21,8.8,13.3,468,81.4,32.7
2023-11-05 13:51:22,9.7,15,459,79.4,35.3
2023-11-05 13:52:22,10.4,16,459,78.3,36.3
2023-11-05 13:53:22,9.3,14.7,455,76.3,36.8
2023-11-05 13:54:22,10.4,15.7,452,75.7,37.3
2023-11-05 13:55:22,10.6,16.5,451,74.8,37
2023-11-05 13:56:22,10.4,15.9,454,73.8,37.9
2023-11-05 13:57:22,11,17,453,74,38.3
2023-11-05 13:58:22,10.9,16.5,456,74.2,39.9
2023-11-05 13:59:22,10.3,16.2,462,76.2,40
2023-11-05 14:00:22,10.8,15.9,464,77.5,40.2
2023-11-05 14:01:22,10.8,16.6,463,77.2,39.1
2023-11-05 14:02:22,9.8,15,463,76.4,38.7
2023-11-05 14:03:22,10,14.6,466,75.7,39.2
2023-11-05 14:04:22,11,16.6,464,75,47.9
2023-11-05 14:05:22,9.6,14.3,458,75.2,45
2023-11-05 14:06:23,9.4,14.4,455,75.7,43.9
2023-11-05 14:07:22,9.9,14.8,455,76.3,43.4
2023-11-05 14:08:22,10.2,15.1,453,76.8,35.8
2023-11-05 14:09:22,9.5,14.2,456,75.5,38.2
2023-11-05 14:10:22,9.7,15,460,75.2,38.8
2023-11-05 14:11:22,10.2,15.4,461,74.8,41.1
2023-11-05 14:12:22,9.8,14.3,473,75.5,40.6
2023-11-05 14:13:22,10.4,16.2,466,75.8,38.5
2023-11-05 14:14:23,10.4,16,463,75,38.8
2023-11-05 14:15:23,10.1,15.5,462,74.1,39.1
2023-11-05 14:16:22,10.5,15.8,474,73.6,39.5
2023-11-05 14:17:22,9.6,14.7,464,73.6,41
2023-11-05 14:18:22,9.6,14.9,453,73.6,38.2
2023-11-05 14:19:22,8.8,12.9,449,72.4,40.6
2023-11-05 14:20:22,9.4,14.2,450,72.6,42.7
2023-11-05 14:21:22,9.2,13.9,452,72.1,40.2
2023-11-05 14:22:23,9.8,14.6,454,72,40.1
2023-11-05 14:23:23,9.1,14.2,446,71.6,41.3
2023-11-05 14:24:23,9.1,14,461,71.9,40.8
2023-11-05 14:25:22,8.5,12.5,454,71.6,42.7
2023-11-05 14:26:22,8.7,13.5,451,71.8,43.5
2023-11-05 14:27:22,7.9,12.4,449,72.2,40.1
2023-11-05 14:28:22,9.3,14,449,71.2,42.8
2023-11-05 14:29:22,9.8,14.5,452,70.9,42.6
2023-11-05 14:30:23,9.8,15,450,71.1,42.6
2023-11-05 14:31:23,10,15.7,451,71.1,44.5
2023-11-05 14:32:23,10,15.6,451,71.8,42.3
2023-11-05 14:33:23,8.7,13.6,450,72.2,40.7
2023-11-05 14:34:22,9.6,13.6,450,71.2,41.6
2023-11-05 14:35:22,8.5,12.9,448,70.7,42.8
2023-11-05 14:36:22,7.9,12.1,447,70.2,42.2
2023-11-05 14:37:22,7.8,12.4,446,70.6,41.7
2023-11-05 14:38:23,9.1,13,443,69.8,42.5
2023-11-05 14:39:23,9.1,13.9,443,69.4,43.2
2023-11-05 14:40:23,9.4,14.5,444,69.5,43.3
2023-11-05 14:41:23,10.5,15.6,445,69.4,44.5
