DATE,PM2.5,PM10,CO2,TEMPERATURE,HUMIDITY
2023-11-11 10:36:33,4.4,6.6,392,52,58.4
2023-11-11 10:37:33,4.7,7.9,395,52.5,56.9
2023-11-11 10:38:32,4.9,8.1,397,52.6,57.4
2023-11-11 10:39:32,5,7.6,398,52.7,56.8
2023-11-11 10:40:32,4.7,6.9,398,53.2,57.2
2023-11-11 10:41:33,4.8,7.5,406,53.6,54.4
2023-11-11 10:42:34,3.7,5.6,409,53.5,56
2023-11-11 10:43:34,3.8,5.8,414,53.7,55.6
2023-11-11 10:44:34,4.5,6.9,410,55.5,54.4
2023-11-11 10:45:34,4.8,7.5,409,57.7,52.6
2023-11-11 10:46:33,4.7,8.1,410,58.1,51.4
2023-11-11 10:47:33,4.7,7.3,414,57.5,52
2023-11-11 10:48:34,4.5,6.4,416,57.2,51.4
2023-11-11 10:49:34,3.3,5.4,415,56.8,53.5
2023-11-11 10:50:34,4.1,5.9,421,56.4,53.4
2023-11-11 10:51:34,4.2,6.7,421,57.5,51.2
2023-11-11 10:52:34,4.2,6.8,424,58.3,48.2
2023-11-11 10:53:33,4,6,414,59.6,47.7
2023-11-11 10:54:33,3.5,5.4,409,61.3,47.6
2023-11-11 10:55:34,3.7,5.7,409,63.9,43.1
2023-11-11 10:56:34,4,6,410,63.6,43.7
2023-11-11 10:57:34,3.3,5.2,417,62.8,45.3
2023-11-11 10:58:34,3.5,5,416,62.3,45.8
2023-11-11 10:59:34,3.3,5,416,61.3,45.6
2023-11-11 11:00:33,4.2,6.6,422,60.2,46.8
2023-11-11 11:01:34,3.7,5.5,421,59.8,47
2023-11-11 11:02:34,3.7,5.9,417,59.4,47.1
2023-11-11 11:03:34,4,6.2,420,58.7,49.3
2023-11-11 11:04:34,3.7,5.5,424,58.9,48.6
2023-11-11 11:05:34,4,6.3,422,59.9,48
2023-11-11 11:06:34,3.6,5.3,421,60.6,45
2023-11-11 11:07:33,3.5,5.5,472,60.7,46.2
2023-11-11 11:08:34,3.7,5.7,454,60.9,46.6
2023-11-11 11:09:34,4.3,6.3,444,62.5,45.8
2023-11-11 11:10:34,3.6,5.2,441,63.5,43.1
2023-11-11 11:11:34,3.4,5.1,438,63.6,44.9
2023-11-11 11:12:34,3.2,4.9,435,63.6,42.9
2023-11-11 11:13:34,2.6,3.9,430,62.7,43.1
2023-11-11 11:14:34,2.9,4.3,423,62,43.9
2023-11-11 11:15:34,2.9,4.5,429,62.9,44.3
2023-11-11 11:16:34,3.2,4.9,426,62.5,43.6
2023-11-11 11:17:34,3.2,4.9,426,61.8,44.4
2023-11-11 11:18:34,3,4.5,424,61.2,44.8
2023-11-11 11:19:34,3.1,4.3,427,61,46.3
2023-11-11 11:20:34,3,4.4,427,60.7,46.1
2023-11-11 11:21:35,3.1,4.6,426,60.5,45.7
2023-11-11 11:22:34,2.6,3.6,425,60,46.5
2023-11-11 11:23:34,3.1,4.5,428,59.7,46.5
2023-11-11 11:24:34,2.4,3.6,428,59.3,46.5
2023-11-11 11:25:34,3.4,5.3,427,59.3,46.6
2023-11-11 11:26:34,3.1,5,429,58.8,46.7
2023-11-11 11:27:35,3.1,5,432,59.3,47.1
2023-11-11 11:28:35,3.3,5.3,430,61.8,46.1
2023-11-11 11:29:34,2.4,4,431,64.5,44.5
2023-11-11 11:30:34,2.8,4.3,433,65.7,40.5
