DATE,PM2.5,PM10,CO2,TEMPERATURE,HUMIDITY
2023-12-07 12:26:56,3.1,4.5,454,62.9,51.3
2023-12-07 12:27:56,3.2,5.1,452,62.1,55.3
2023-12-07 12:28:55,2.7,3.9,446,61.9,55.2
2023-12-07 12:29:55,2.3,3.3,441,60.8,55.6
2023-12-07 12:30:55,2.4,3.7,438,59.2,55.9
2023-12-07 12:31:56,2.7,4.1,439,58.3,58.2
2023-12-07 12:32:56,2.5,3.8,443,57.6,59.3
2023-12-07 12:33:56,2.5,3.9,442,57.4,60.2
2023-12-07 12:34:56,2.6,3.8,472,57.7,60.6
2023-12-07 12:35:56,2.7,4.1,461,57.5,59.9
2023-12-07 12:36:56,2.7,4.4,447,57.2,60.6
2023-12-07 12:37:55,2.4,3.5,444,57.1,60.9
2023-12-07 12:38:55,2.2,3.7,443,57,61.1
2023-12-07 12:39:55,2.2,3.4,442,56.2,61.1
2023-12-07 12:40:56,2.7,4.2,442,55.2,61.7
2023-12-07 12:41:56,1.6,2.7,440,54.5,61.9
2023-12-07 12:42:56,1.4,2.2,430,53.7,63.7
2023-12-07 12:43:56,1.2,1.4,426,53.1,64.1
2023-12-07 12:44:56,1,1.5,426,53.3,64
2023-12-07 12:45:56,1.3,2.2,427,53,65.2
2023-12-07 12:46:56,1,1.5,425,53,65.6
2023-12-07 12:47:55,0.9,1.3,429,52.9,65.5
2023-12-07 12:48:56,1.2,1.9,430,53.1,65.6
2023-12-07 12:49:56,1.1,1.8,428,53.8,66.3
2023-12-07 12:50:56,0.7,1,425,54.2,65
2023-12-07 12:51:56,0.5,0.9,425,53.9,62.7
2023-12-07 12:52:56,0.7,1,424,53.4,63.8
2023-12-07 12:53:56,0.7,1.2,421,53.8,64.1
2023-12-07 12:54:56,0.5,0.8,422,53.3,63.4
2023-12-07 12:55:56,0.6,0.9,420,53.1,63.7
2023-12-07 12:56:56,0.6,1,424,53.5,65.5
2023-12-07 12:57:56,0.4,0.7,423,53.6,61.8
2023-12-07 12:58:56,0.4,0.7,422,53.9,62.7
2023-12-07 12:59:56,0.2,0.2,425,54,62.6
2023-12-07 13:00:56,0.2,0.3,426,54.2,61.6
2023-12-07 13:01:56,0.1,0.2,425,54,62.7
2023-12-07 13:02:56,0.3,0.4,426,53.8,62.8
2023-12-07 13:03:56,0.6,0.7,424,53.7,63.9
2023-12-07 13:04:56,0.4,0.7,429,53.1,63
2023-12-07 13:05:56,0.7,1.3,427,52.8,65.9
2023-12-07 13:06:57,0.5,0.6,426,53.2,63.9
2023-12-07 13:07:56,0.3,0.3,424,53.1,64.1
2023-12-07 13:08:56,0.3,0.4,422,53.2,63.7
2023-12-07 13:09:56,0.3,0.5,420,54,63.3
2023-12-07 13:10:56,0.3,0.5,420,54.3,64
2023-12-07 13:11:56,0.4,0.7,419,54.6,61.5
2023-12-07 13:12:56,0.5,0.7,418,54.1,61.2
2023-12-07 13:13:56,0.4,0.5,419,54.2,61
2023-12-07 13:14:57,0.5,0.6,419,54.7,61.3
2023-12-07 13:15:57,0.5,0.7,421,55,60
2023-12-07 13:16:56,0.4,0.6,422,54.6,60.4
2023-12-07 13:17:56,0.4,0.6,424,54.2,60
2023-12-07 13:18:56,0.7,1.1,438,53.7,60.6
2023-12-07 13:19:56,0.6,0.9,441,53.3,60.9
2023-12-07 13:20:56,0.5,0.9,438,53.1,60.6
2023-12-07 13:21:56,0.6,1,436,52.9,61.2
2023-12-07 13:22:57,1,1.6,443,53.3,61.6
