DATE,PM2.5,PM10,CO2,TEMPERATURE,HUMIDITY
2023-12-07 00:32:12,5.6,8.5,431,54.3,48.2
2023-12-07 00:33:12,7.4,12.4,424,53.3,50.7
2023-12-07 00:34:12,5.7,8.7,420,52.5,49.2
2023-12-07 00:35:12,4.6,7.2,415,51.5,50.2
2023-12-07 00:36:12,6,9.1,405,51.2,49.5
2023-12-07 00:37:12,4.8,7.9,402,50.3,52.2
2023-12-07 00:38:13,4.8,7.1,400,50.2,51.4
2023-12-07 00:39:12,6,9.5,402,49.5,52.3
2023-12-07 00:40:12,7.3,11.2,397,48.6,54.6
2023-12-07 00:41:12,5,7.7,394,48.2,54.9
2023-12-07 00:42:12,5,8,394,48,56.1
2023-12-07 00:43:12,5.9,9.6,394,47.9,55.7
2023-12-07 00:44:13,5.5,8.5,399,47.8,55.5
2023-12-07 00:45:13,6.7,10.8,405,46.9,57.1
2023-12-07 00:46:12,5.7,9.3,405,46.3,57.3
2023-12-07 00:47:12,6.5,9.7,400,46.4,58.5
2023-12-07 00:48:12,6.4,10.4,398,46.9,58.3
2023-12-07 00:49:12,6.9,10.7,400,47.7,58.5
2023-12-07 00:50:12,6.7,10.3,400,48.2,57.1
2023-12-07 00:51:13,6.7,10.6,402,48,56.1
2023-12-07 00:52:13,7.6,11.7,403,47.6,57.5
2023-12-07 00:53:12,6.3,10.3,398,47.2,56.5
2023-12-07 00:54:12,6.4,10.3,405,47,56.7
2023-12-07 00:55:12,6.3,9.6,401,48.5,56.7
2023-12-07 00:56:12,5.7,8.7,404,48.5,55.6
2023-12-07 00:57:13,5.9,9.2,402,48.5,55.3
2023-12-07 00:58:13,6.3,9.7,402,48.9,55.4
2023-12-07 00:59:13,6.9,10.2,404,49.6,55.3
2023-12-07 01:00:12,6.3,9.6,406,50.3,54.9
2023-12-07 01:01:12,7.5,11.5,411,48.7,53
2023-12-07 01:02:12,7,11,415,47.7,54.9
2023-12-07 01:03:12,7,10.7,420,48.1,56.2
2023-12-07 01:04:13,5.9,9.3,418,49.1,54.5
2023-12-07 01:05:13,5.8,9.1,417,49.9,55.1
2023-12-07 01:06:13,5.9,9.1,410,50.6,55
2023-12-07 01:07:12,6.5,9.8,404,51,52.6
2023-12-07 01:08:12,5.6,8.7,403,50.9,53.1
2023-12-07 01:09:12,5.9,8.7,402,50.5,52.8
2023-12-07 01:10:13,6.6,10.3,402,49.5,53.8
2023-12-07 01:11:13,5.8,8.9,407,49,54.1
2023-12-07 01:12:13,5.7,8.9,406,49.2,55.8
2023-12-07 01:13:13,5.7,9.3,404,50.6,57.7
2023-12-07 01:14:12,5.3,7.6,399,52,51.4
2023-12-07 01:15:12,5.6,8.2,400,53,52.2
2023-12-07 01:16:12,5.7,8.7,403,54.3,47.9
2023-12-07 01:17:13,4.6,7,405,53.9,50.6
2023-12-07 01:18:13,5.6,8.2,405,53.1,49.9
2023-12-07 01:19:13,5.4,8.2,404,54.7,50.9
2023-12-07 01:20:13,5.1,7.7,407,55.8,49.3
2023-12-07 01:21:13,5,7.7,406,56.4,49.2
2023-12-07 01:22:12,5.5,8.8,407,56.4,48.7
2023-12-07 01:23:13,5.5,8.3,412,58.6,48.4
2023-12-07 01:24:13,5.4,8.4,420,60.8,46.4
2023-12-07 01:25:13,4.8,7.1,426,62.8,43.9
2023-12-07 01:26:13,5.7,9.3,434,61.9,39.1
2023-12-07 01:27:13,6.2,9.4,433,59.9,41.8
2023-12-07 01:28:13,5.8,9.2,419,59.3,43.6
2023-12-07 01:29:12,5.4,8.3,430,60.6,43
2023-12-07 01:30:13,5.6,8.5,432,61.1,40.7
2023-12-07 01:31:13,5.3,7.8,445,60.4,41.6
2023-12-07 01:32:13,5.8,8.6,444,59.2,41.3
2023-12-07 01:33:13,6.2,9.4,439,58.7,40.1
2023-12-07 01:34:13,5.5,8.5,434,57.8,43.4
2023-12-07 01:35:13,5.3,7.8,422,57.2,44.2
2023-12-07 01:36:13,5,7.6,421,57.2,45
2023-12-07 01:37:13,4.7,6.7,414,56.9,44.3
2023-12-07 01:38:13,4.8,7.7,412,56.5,45.5
2023-12-07 01:39:13,5.4,8.1,418,56,44.9
2023-12-07 01:40:13,4.9,7.4,436,56.2,44.6
2023-12-07 01:41:13,5.6,9.2,442,57.5,45.1
2023-12-07 01:42:13,5.2,7.7,445,59,42.5
2023-12-07 01:43:13,4.9,7.4,421,58.3,41.7
2023-12-07 01:44:13,5.1,8.1,441,57.3,42.7
2023-12-07 01:45:13,5.1,7.8,428,57.6,43.6
2023-12-07 01:46:13,5.4,8.9,429,56.8,44
2023-12-07 01:47:13,5.2,8.3,423,57.6,44.6
2023-12-07 01:48:13,5.6,8.2,419,57.4,43.6
2023-12-07 01:49:13,4.8,7.5,418,57.8,45
2023-12-07 01:50:13,5.6,8.8,415,57.9,42.2
2023-12-07 01:51:13,6.1,9.6,416,58.7,43.4
2023-12-07 01:52:13,6,9.4,414,57.6,45.8
2023-12-07 01:53:13,6.5,9.8,414,57,45.1
2023-12-07 01:54:13,6.2,9.6,412,55.7,45.7
2023-12-07 01:55:13,5,7.5,416,57.7,46.4
2023-12-07 01:56:13,6.3,9.7,420,57,41.6
2023-12-07 01:57:13,6.6,10,422,55.6,43.2
2023-12-07 01:58:14,6.1,9.3,425,55.6,45.8
2023-12-07 01:59:14,6.4,9.9,422,55.8,43.9
2023-12-07 02:00:13,5.8,9.2,422,55.3,45.4
2023-12-07 02:01:13,5.8,8.7,419,54.8,44.7
2023-12-07 02:02:13,6,9.2,406,53.1,45.5
2023-12-07 02:03:13,5.7,8.5,399,52.2,47.3
2023-12-07 02:04:13,5.1,7.1,399,53.3,47.2
2023-12-07 02:05:13,4.9,7.5,397,55.2,46.7
2023-12-07 02:06:14,5.4,8.4,399,54.5,44.3
2023-12-07 02:07:14,5.9,8.9,408,54.4,46.1
2023-12-07 02:08:14,6.2,10.2,410,55.2,46.1
2023-12-07 02:09:13,5.7,9,416,55.5,46.3
2023-12-07 02:10:13,5.2,8.1,420,55.8,43.7
2023-12-07 02:11:13,5.6,8.5,418,57,44
2023-12-07 02:12:13,4.6,6.6,416,59,44.7
2023-12-07 02:13:14,5.3,8.4,416,60,43.2
2023-12-07 02:14:14,5,6.8,417,61.5,38.9
2023-12-07 02:15:14,4.4,7,419,61.4,40.7
2023-12-07 02:16:14,5.6,8.4,418,61.2,41.4
2023-12-07 02:17:14,5.4,8.5,419,61.3,42.8
2023-12-07 02:18:13,5.9,9.1,424,62.2,38.8
2023-12-07 02:19:13,6.1,9.1,419,62.8,40.2
2023-12-07 02:20:13,5.3,8.2,410,61.1,39
2023-12-07 02:37:21,1.7,2.2,419,49,39.8
2023-12-07 02:38:21,0.6,1,408,45.2,43.1
