DATE,PM2.5,PM10,CO2,TEMPERATURE,HUMIDITY
2023-12-07 15:01:59,003.7,005.6,393,037.9,059.9,
2023-12-07 15:02:59,003.1,005.0,396,039.0,058.9,
2023-12-07 15:03:59,002.9,004.4,397,040.0,056.5,
2023-12-07 15:04:59,002.5,004.3,403,040.7,054.7,
2023-12-07 15:05:59,003.0,004.9,404,041.0,053.5,
2023-12-07 15:06:59,003.2,004.9,410,041.2,055.2,
2023-12-07 15:08:00,003.7,005.7,408,041.8,054.9,
2023-12-07 15:09:00,003.6,005.6,407,041.7,053.0,
2023-12-07 15:09:59,003.6,005.4,406,042.2,053.5,
2023-12-07 15:10:59,003.5,005.7,404,042.6,051.9,
2023-12-07 15:11:59,003.4,005.6,404,042.7,050.0,
2023-12-07 15:12:59,003.3,005.3,406,042.7,050.7,
2023-12-07 15:14:00,003.9,006.3,408,042.2,052.7,
2023-12-07 15:15:00,004.1,006.4,405,042.7,052.2,
2023-12-07 15:16:00,003.4,005.6,404,042.9,050.5,
2023-12-07 15:16:59,004.3,006.9,402,042.1,051.7,
2023-12-07 15:17:59,005.2,007.9,402,042.2,053.1,
2023-12-07 15:18:59,004.7,007.7,401,042.7,052.0,
2023-12-07 15:19:59,005.5,008.5,402,043.0,051.5,
2023-12-07 15:21:00,004.6,008.0,402,042.8,050.6,
2023-12-07 15:22:00,005.2,008.6,401,041.6,052.6,
2023-12-07 15:23:00,003.9,006.1,402,042.2,052.5,
2023-12-07 15:24:00,004.2,006.8,407,042.4,051.2,
2023-12-07 15:24:59,004.4,006.9,409,042.6,052.1,
2023-12-07 15:25:59,004.1,006.4,407,042.2,051.4,
2023-12-07 15:27:00,003.9,005.8,409,042.3,051.4,
2023-12-07 15:28:00,002.6,004.2,410,042.3,052.6,
2023-12-07 15:29:00,003.6,005.4,410,043.2,050.3,
2023-12-07 15:30:00,003.1,004.5,411,043.1,050.2,
2023-12-07 15:31:00,003.3,005.0,414,042.7,051.1,
2023-12-07 15:31:59,002.9,004.3,412,042.9,052.5,
2023-12-07 15:32:59,003.2,004.8,411,043.3,051.2,
2023-12-07 15:34:00,002.6,003.9,410,043.1,050.8,
2023-12-07 15:35:00,003.3,005.0,410,042.1,051.2,
2023-12-07 15:36:00,002.7,004.2,409,041.8,052.7,
2023-12-07 15:37:00,002.5,003.9,404,042.9,053.7,
2023-12-07 15:38:00,002.6,004.3,404,044.5,052.1,
2023-12-07 15:38:59,003.2,004.6,404,043.7,050.4,
2023-12-07 15:40:00,003.8,006.0,402,043.4,051.3,
2023-12-07 15:41:00,002.2,003.5,402,043.2,048.9,
2023-12-07 15:42:00,001.7,002.9,401,042.7,050.6,
2023-12-07 15:43:00,002.8,004.3,408,044.1,052.1,
2023-12-07 15:44:00,002.4,003.9,415,045.1,048.3,
