PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,YEAR,QUARTER
PELHAM BAY PARK,BRONX,2771.747,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
VAN CORTLANDT PARK,BRONX,1146.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ROCKAWAY BEACH AND BOARDWALK,QUEENS,1072.564,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRESHKILLS PARK,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FLUSHING MEADOWS CORONA PARK,QUEENS,897.69,ONE ACRE OR LARGER,0,0,2,1,0,3,0,6,2021,q1
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MARINE PARK,BROOKLYN,798,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BRONX PARK,BRONX,718.373,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ALLEY POND PARK,QUEENS,635.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
PROSPECT PARK,BROOKLYN,526.25,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2021,q1
FOREST PARK,QUEENS,506.86,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GRAND CENTRAL PARKWAY,QUEENS,460.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FERRY POINT PARK,BRONX,413.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN,399.203,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
CUNNINGHAM PARK,QUEENS,358,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RICHMOND PARKWAY,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CROSS ISLAND PARKWAY,QUEENS,326.895,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GREAT KILLS PARK,STATEN ISLAND,315.094,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WOLFE'S POND PARK,STATEN ISLAND,302.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RANDALL'S ISLAND PARK,MANHATTAN,256.111,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ROCKAWAY COMMUNITY PARK,QUEENS,255.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
KISSENA PARK,QUEENS,237.147,ONE ACRE OR LARGER,0,0,4,0,0,0,0,4,2021,q1
