Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,,04/12/2018 06:30:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Battle of the Paddles Special Event,Tournament/Competition,Sport,,60,Adults;#Seniors;#Young Adult
Recreation,,01/20/2018 12:00:00 AM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Event New Year Ultimate Fitness Frenzy,Local Event,Fitness,,50,Teens;#Young Adult;#Adults;#Seniors
Recreation,,06/11/2018 10:00:00 AM,Bronx,Park,Poe Park,Youth Arts Festival,Community Based Event,Mobile Unit,Play,150,Children;#General Public
Recreation,Musuem of Chinese in America,06/07/2019 07:00:00 PM,Manhattan,Park,Columbus Park,Movie: Kung Fu Panda,Community Based Event,Mobile Unit,M.U.T.S,325,Children;#Young Adult;#General Public
Recreation,,06/08/2019 11:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Live, Laugh, Love Fitness Expo",Agency Produced Event,Fitness,Fitness,166,General Public;#Adults;#Young Adult;#Seniors
Recreation,,06/08/2019 08:30:00 PM,Staten Island,Park,Great Kills Park,Iron Man 2 (2010),Community Based Event,Mobile Unit,M.U.T.S,70,General Public
Recreation,,06/01/2019 08:30:00 PM,Staten Island,Park,Willowbrook Park,Iron Man (2008),Community Based Event,Mobile Unit,M.U.T.S,75,General Public
Recreation,Council Member Levine,06/06/2019 07:00:00 PM,Manhattan,Park,Carmansville Park,Movie: Green Book,Community Based Event,Mobile Unit,M.U.T.S,290,General Public;#Teens;#Adults
Recreation,,06/05/2019 06:30:00 PM,Manhattan,Recreation Center,Recreation Center 54,Daughter and Father Cotillion,Agency Produced Event,Family Festival,,48,Children;#Young Adult;#Teens;#Adults
Recreation,Council Member Rosenthal,06/04/2019 07:00:00 PM,Manhattan,Playground,Samuel N. Bennerson 2nd Playground,Movie: Fantastic Beasts: The Crimes of Grindlewald,Community Based Event,Mobile Unit,M.U.T.S,246,Adults;#Teens;#Young Adult;#General Public
Recreation,Jazz Foundation,06/06/2019 06:00:00 PM,Manhattan,Park,Marcus Garvey Park,Jazz Concert,Community Based Event,Arts/Culture,AC&F,350,General Public
Urban Park Rangers,National Park Service,06/12/2019 10:00:00 AM,Brooklyn,Park,Canarsie Park,Seining,Agency Produced Event,Nature,Aquatics,10,Adults
Recreation,,06/11/2019 11:00:00 AM,Manhattan,Park,John Jay Park,Learn to Ride,Community Based Event,Fitness,,35,Children;#Young Adult;#Teens
Recreation,Councilman Torres,06/16/2018 08:30:00 PM,Bronx,Playground,Parkside Playground,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,26,General Public
Recreation,Council Member Kallos,05/11/2019 01:00:00 PM,Manhattan,Park,Andrew Haswell Green Park,Jazz Concert: Lara Bello,Community Based Event,Arts/Culture,,85,General Public
Recreation,,05/18/2019 12:30:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Self-Care for Mothers and Families,Agency Produced Event,Family Festival,,85,General Public
Recreation,Jazz Foundation,05/11/2019 01:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Jazz Concert,Agency Produced Event,Arts/Culture,AC&F,40,General Public
Recreation,,05/17/2019 04:00:00 PM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,Teen Fitness Challenge,Agency Produced Event,Fitness,Fitness,12,Teens
Recreation,Jazz Foundation,05/16/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert,Agency Produced Event,Arts/Culture,AC&F,90,General Public
Recreation,,05/15/2019 05:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Senior Game Night,Agency Produced Event,Sport,,2,Seniors
Recreation,Bike NYC,05/18/2019 11:00:00 AM,Queens,Park,Grover Cleveland Park,Learn to Ride,Community Based Event,Sport,,23,Children;#Teens
Recreation,,05/11/2019 12:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Sports Spectacular,Agency Produced Event,Sport,,10,General Public
Recreation,,05/11/2019 12:30:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,She Got Game,Agency Produced Event,Sport,,6,Adults;#Teens;#Seniors;#General Public
Recreation,Jazz Foundation,05/09/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert,Agency Produced Event,Arts/Culture,AC&F,70,General Public
Recreation,"Harlem Renaissance Orchestra, Harlem Swing Dance Society",06/16/2018 05:00:00 PM,Manhattan,Park,Marcus Garvey Park,Tonight We dance: Jazz & Swing,Community Based Event,Performance,Dance,445,General Public
