fid,acquisitio,acres,address,borough,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,fid_2,area_id,city,state,city_surve,category,grade,label,residentia,commercial,industrial,fill
630,1934-08-16 00:00:00.0000000,635.514000000000010,,Q,PARK,411.000000000000000,1923.000000000000000,Q-07A,Alley Pond Park,100000043.000000000000000,Q001,6C233F68-A713-423B-B8DF-E8816161CCCD,DPR,"Little Neck Bay to Springfield Blvd, Union Tpke",Part,Alley Pond Park,,,69209.000000000000000,Q001,Q-11,T,Q-07A,Q-11,F,111.000000000000000,F,Alley Pond Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,,T,113611136211363112681472.000000000000000,6665,2497,Queens,NY,1,Still Desirable,B,B11,1,0,0,#7cb5bd
630,1934-08-16 00:00:00.0000000,635.514000000000010,,Q,PARK,411.000000000000000,1923.000000000000000,Q-07A,Alley Pond Park,100000043.000000000000000,Q001,6C233F68-A713-423B-B8DF-E8816161CCCD,DPR,"Little Neck Bay to Springfield Blvd, Union Tpke",Part,Alley Pond Park,,,69209.000000000000000,Q001,Q-11,T,Q-07A,Q-11,F,111.000000000000000,F,Alley Pond Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,,T,113611136211363112681472.000000000000000,6666,2591,Queens,NY,1,Still Desirable,B,B12,1,0,0,#7cb5bd
630,1934-08-16 00:00:00.0000000,635.514000000000010,,Q,PARK,411.000000000000000,1923.000000000000000,Q-07A,Alley Pond Park,100000043.000000000000000,Q001,6C233F68-A713-423B-B8DF-E8816161CCCD,DPR,"Little Neck Bay to Springfield Blvd, Union Tpke",Part,Alley Pond Park,,,69209.000000000000000,Q001,Q-11,T,Q-07A,Q-11,F,111.000000000000000,F,Alley Pond Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,,T,113611136211363112681472.000000000000000,6667,2589,Queens,NY,1,Still Desirable,B,B13,1,0,0,#7cb5bd
630,1934-08-16 00:00:00.0000000,635.514000000000010,,Q,PARK,411.000000000000000,1923.000000000000000,Q-07A,Alley Pond Park,100000043.000000000000000,Q001,6C233F68-A713-423B-B8DF-E8816161CCCD,DPR,"Little Neck Bay to Springfield Blvd, Union Tpke",Part,Alley Pond Park,,,69209.000000000000000,Q001,Q-11,T,Q-07A,Q-11,F,111.000000000000000,F,Alley Pond Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,,T,113611136211363112681472.000000000000000,6734,2595,Queens,NY,1,Definitely Declining,C,C50,1,0,0,#ffff00
630,1934-08-16 00:00:00.0000000,635.514000000000010,,Q,PARK,411.000000000000000,1923.000000000000000,Q-07A,Alley Pond Park,100000043.000000000000000,Q001,6C233F68-A713-423B-B8DF-E8816161CCCD,DPR,"Little Neck Bay to Springfield Blvd, Union Tpke",Part,Alley Pond Park,,,69209.000000000000000,Q001,Q-11,T,Q-07A,Q-11,F,111.000000000000000,F,Alley Pond Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,,T,113611136211363112681472.000000000000000,6735,2498,Queens,NY,1,Definitely Declining,C,C51,1,0,0,#ffff00
630,1934-08-16 00:00:00.0000000,635.514000000000010,,Q,PARK,411.000000000000000,1923.000000000000000,Q-07A,Alley Pond Park,100000043.000000000000000,Q001,6C233F68-A713-423B-B8DF-E8816161CCCD,DPR,"Little Neck Bay to Springfield Blvd, Union Tpke",Part,Alley Pond Park,,,69209.000000000000000,Q001,Q-11,T,Q-07A,Q-11,F,111.000000000000000,F,Alley Pond Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,,T,113611136211363112681472.000000000000000,6753,2560,Queens,NY,1,Definitely Declining,C,C68,1,0,0,#ffff00
630,1934-08-16 00:00:00.0000000,635.514000000000010,,Q,PARK,411.000000000000000,1923.000000000000000,Q-07A,Alley Pond Park,100000043.000000000000000,Q001,6C233F68-A713-423B-B8DF-E8816161CCCD,DPR,"Little Neck Bay to Springfield Blvd, Union Tpke",Part,Alley Pond Park,,,69209.000000000000000,Q001,Q-11,T,Q-07A,Q-11,F,111.000000000000000,F,Alley Pond Park,Large Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,,T,113611136211363112681472.000000000000000,6823,11398,Queens,NY,1,Industrial and Commercial,,Industrial and Commercial,0,1,1,#000000
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6582,2666,Manhattan,NY,1,Still Desirable,B,B6,1,0,0,#7cb5bd
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6583,2648,Manhattan,NY,1,Still Desirable,B,B7,1,0,0,#7cb5bd
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6589,2667,Manhattan,NY,1,Definitely Declining,C,C4,1,0,0,#ffff00
