zone,m2,sum,count,min,max,mean
24.00000000,1343700.00000000,35832.00000000,"1493",24.00000000,24.00000000,24.00000000
81.00000000,8100.00000000,729.00000000,"9",81.00000000,81.00000000,81.00000000
23.00000000,444600.00000000,11362.00000000,"494",23.00000000,23.00000000,23.00000000
42.00000000,2700.00000000,126.00000000,"3",42.00000000,42.00000000,42.00000000
21.00000000,69300.00000000,1617.00000000,"77",21.00000000,21.00000000,21.00000000
31.00000000,24300.00000000,837.00000000,"27",31.00000000,31.00000000,31.00000000
82.00000000,2700.00000000,246.00000000,"3",82.00000000,82.00000000,82.00000000
43.00000000,7200.00000000,344.00000000,"8",43.00000000,43.00000000,43.00000000
71.00000000,19800.00000000,1562.00000000,"22",71.00000000,71.00000000,71.00000000
52.00000000,30600.00000000,1768.00000000,"34",52.00000000,52.00000000,52.00000000
22.00000000,101700.00000000,2486.00000000,"113",22.00000000,22.00000000,22.00000000
41.00000000,118800.00000000,5412.00000000,"132",41.00000000,41.00000000,41.00000000
