gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4398037319	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1528141862	Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	Regulus calendula		SPECIES	Corthylio calendula (Linnaeus, 1766)	Corthylio calendula		US	Crotona Park	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-09-28T00:00:00	28	9	2022	11261360	2484597	HUMAN_OBSERVATION	CLO	EBIRD	OBS1528141862				CC_BY_4_0		obsr1902348			2023-08-25T15:24:15.745Z		CONTINENT_DERIVED_FROM_COORDINATES
4397916279	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1398975961	Animalia	Chordata	Aves	Piciformes	Picidae	Sphyrapicus	Sphyrapicus varius		SPECIES	Sphyrapicus varius (Linnaeus, 1766)	Sphyrapicus varius		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-21T00:00:00	21	4	2022	2478605	2478605	HUMAN_OBSERVATION	CLO	EBIRD	OBS1398975961				CC_BY_4_0		obsr1756236			2023-08-25T15:53:48.064Z		CONTINENT_DERIVED_FROM_COORDINATES
4397694230	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1534760180	Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	Regulus calendula		SPECIES	Corthylio calendula (Linnaeus, 1766)	Corthylio calendula		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-10-08T00:00:00	8	10	2022	11261360	2484597	HUMAN_OBSERVATION	CLO	EBIRD	OBS1534760180				CC_BY_4_0		obsr1902348			2023-08-25T15:25:03.549Z		CONTINENT_DERIVED_FROM_COORDINATES
4397603979	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1399310612	Animalia	Chordata	Aves	Accipitriformes	Cathartidae	Cathartes	Cathartes aura		SPECIES	Cathartes aura (Linnaeus, 1758)	Cathartes aura		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-21T00:00:00	21	4	2022	2481930	2481930	HUMAN_OBSERVATION	CLO	EBIRD	OBS1399310612				CC_BY_4_0		obsr1336319			2023-08-25T15:55:36.698Z		CONTINENT_DERIVED_FROM_COORDINATES
4397601907	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1399310594	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Ardea	Ardea alba		SPECIES	Ardea alba Linnaeus, 1758	Ardea alba		US	Crotona Park	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-21T00:00:00	21	4	2022	9752617	9752617	HUMAN_OBSERVATION	CLO	EBIRD	OBS1399310594				CC_BY_4_0		obsr1336319			2023-08-25T15:50:21.870Z		CONTINENT_DERIVED_FROM_COORDINATES
4397601579	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1399228226	Animalia	Chordata	Aves	Passeriformes	Vireonidae	Vireo	Vireo solitarius		SPECIES	Vireo solitarius (A.Wilson, 1810)	Vireo solitarius		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-21T00:00:00	21	4	2022	2487456	2487456	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1399228226				CC_BY_4_0		obsr59592			2023-08-25T15:58:27.285Z		CONTINENT_DERIVED_FROM_COORDINATES
4397564937	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1399037878	Animalia	Chordata	Aves	Passeriformes	Icteridae	Quiscalus	Quiscalus quiscula		SPECIES	Quiscalus quiscula (Linnaeus, 1758)	Quiscalus quiscula		US	Crotona Park	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-21T00:00:00	21	4	2022	2484155	2484155	HUMAN_OBSERVATION	CLO	EBIRD	OBS1399037878				CC_BY_4_0		obsr419069			2023-08-25T15:23:15.038Z		CONTINENT_DERIVED_FROM_COORDINATES
4397481522	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1399217549	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	Buteo jamaicensis		SPECIES	Buteo jamaicensis (Gmelin, 1788)	Buteo jamaicensis		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-21T00:00:00	21	4	2022	2480542	2480542	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1399217549				CC_BY_4_0		obsr59592			2023-08-25T15:53:38.016Z		CONTINENT_DERIVED_FROM_COORDINATES
4397224602	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1399217564	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	Setophaga petechia		SPECIES	Setophaga petechia (Linnaeus, 1766)	Setophaga petechia		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-21T00:00:00	21	4	2022	7341834	7341834	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1399217564				CC_BY_4_0		obsr59592			2023-08-25T15:52:10.946Z		CONTINENT_DERIVED_FROM_COORDINATES
4397066746	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1396034387	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	Setophaga coronata		SPECIES	Setophaga coronata (Linnaeus, 1766)	Setophaga coronata		US	Crotona Park	New York	PRESENT	9	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2022-04-18T00:00:00	18	4	2022	7341805	7341805	HUMAN_OBSERVATION	CLO	EBIRD	OBS1396034387				CC_BY_4_0		obsr806887			2023-08-25T15:22:58.704Z		CONTINENT_DERIVED_FROM_COORDINATES
