gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4398663066	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1572912331	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocitta	Cyanocitta cristata		SPECIES	Cyanocitta cristata (Linnaeus, 1758)	Cyanocitta cristata		US	Highbridge Park--N of Alexander Hamilton Bridge	New York	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	40.852894	-73.92612							2022-12-01T00:00:00	1	12	2022	2482593	2482593	HUMAN_OBSERVATION	CLO	EBIRD	OBS1572912331				CC_BY_4_0		obsr3256179			2023-08-25T15:53:31.546Z		CONTINENT_DERIVED_FROM_COORDINATES
4398260180	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1442882727	Animalia	Chordata	Aves	Passeriformes	Mimidae	Mimus	Mimus polyglottos		SPECIES	Mimus polyglottos (Linnaeus, 1758)	Mimus polyglottos		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-05-26T00:00:00	26	5	2022	5231677	5231677	HUMAN_OBSERVATION	CLO	EBIRD	OBS1442882727				CC_BY_4_0		obsr1709209			2023-08-25T15:23:30.833Z		CONTINENT_DERIVED_FROM_COORDINATES
4397910428	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1506678072	Animalia	Chordata	Aves	Passeriformes	Mimidae	Dumetella	Dumetella carolinensis		SPECIES	Dumetella carolinensis (Linnaeus, 1766)	Dumetella carolinensis		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-08-28T00:00:00	28	8	2022	2494936	2494936	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1506678072				CC_BY_4_0		obsr1012275			2023-08-25T15:25:29.040Z		CONTINENT_DERIVED_FROM_COORDINATES
4397892608	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1558738199	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocitta	Cyanocitta cristata		SPECIES	Cyanocitta cristata (Linnaeus, 1758)	Cyanocitta cristata		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	11	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-11-10T00:00:00	10	11	2022	2482593	2482593	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1558738199				CC_BY_4_0		obsr1012275			2023-08-25T15:25:30.778Z		CONTINENT_DERIVED_FROM_COORDINATES
4397883216	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1526483216	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocitta	Cyanocitta cristata		SPECIES	Cyanocitta cristata (Linnaeus, 1758)	Cyanocitta cristata		US	Highbridge Park--N of Alexander Hamilton Bridge	New York	PRESENT	6	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.852894	-73.92612							2022-09-26T00:00:00	26	9	2022	2482593	2482593	HUMAN_OBSERVATION	CLO	EBIRD	OBS1526483216				CC_BY_4_0		obsr2227055			2023-08-25T15:56:26.196Z		CONTINENT_DERIVED_FROM_COORDINATES
4397729627	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1532715080	Animalia	Chordata	Aves	Passeriformes	Parulidae	Mniotilta	Mniotilta varia		SPECIES	Mniotilta varia (Linnaeus, 1766)	Mniotilta varia		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-10-05T00:00:00	5	10	2022	2489613	2489613	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1532715080				CC_BY_4_0		obsr1012275			2023-08-25T16:00:10.726Z		CONTINENT_DERIVED_FROM_COORDINATES
4397073645	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1584286804	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus migratorius		SPECIES	Turdus migratorius Linnaeus, 1766	Turdus migratorius		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	9	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-12-18T00:00:00	18	12	2022	9510564	9510564	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1584286804				CC_BY_4_0		obsr1012275			2023-08-25T15:55:56.072Z		CONTINENT_DERIVED_FROM_COORDINATES
4396795418	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1562374455	Animalia	Chordata	Aves	Passeriformes	Icteridae	Agelaius	Agelaius phoeniceus		SPECIES	Agelaius phoeniceus (Linnaeus, 1766)	Agelaius phoeniceus		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-11-15T00:00:00	15	11	2022	9409198	9409198	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1562374455				CC_BY_4_0		obsr1012275			2023-08-25T15:24:53.642Z		CONTINENT_DERIVED_FROM_COORDINATES
4396698633	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1580786625	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus	Molothrus ater		SPECIES	Molothrus ater (Boddaert, 1783)	Molothrus ater		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-12-13T00:00:00	13	12	2022	2484391	2484391	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1580786625				CC_BY_4_0		obsr1012275			2023-08-25T15:25:33.467Z		CONTINENT_DERIVED_FROM_COORDINATES
4396570811	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS1447684305	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis cardinalis		SPECIES	Cardinalis cardinalis (Linnaeus, 1758)	Cardinalis cardinalis		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2022-05-31T00:00:00	31	5	2022	2490384	2490384	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS1447684305				CC_BY_4_0		obsr1012275			2023-08-25T15:23:30.356Z		CONTINENT_DERIVED_FROM_COORDINATES
