gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4398028284	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1589755811	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Melospiza	Melospiza melodia		SPECIES	Melospiza melodia (A.Wilson, 1810)	Melospiza melodia		US	Sound View Park	New York	PRESENT	18	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-12-26T00:00:00	26	12	2022	2492196	2492196	HUMAN_OBSERVATION	CLO	EBIRD	OBS1589755811				CC_BY_4_0		obsr59592			2023-08-25T15:26:04.349Z		CONTINENT_DERIVED_FROM_COORDINATES
4397965085	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1589755794	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	Poecile atricapillus		SPECIES	Poecile atricapillus (Linnaeus, 1766)	Poecile atricapillus		US	Sound View Park	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-12-26T00:00:00	26	12	2022	2487805	2487805	HUMAN_OBSERVATION	CLO	EBIRD	OBS1589755794				CC_BY_4_0		obsr59592			2023-08-25T15:24:53.552Z		CONTINENT_DERIVED_FROM_COORDINATES
4397835399	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1589755812	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizelloides	Spizelloides arborea		SPECIES	Spizelloides arborea (A.Wilson, 1810)	Spizelloides arborea		US	Sound View Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-12-26T00:00:00	26	12	2022	7357320	7357320	HUMAN_OBSERVATION	CLO	EBIRD	OBS1589755812				CC_BY_4_0		obsr59592			2023-08-25T15:55:38.332Z		CONTINENT_DERIVED_FROM_COORDINATES
4397565222	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1399103306	Animalia	Chordata	Aves	Anseriformes	Anatidae	Mergus	Mergus serrator		SPECIES	Mergus serrator Linnaeus, 1758	Mergus serrator		US	Sound View Park	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2021-01-24T00:00:00	24	1	2021	2498375	2498375	HUMAN_OBSERVATION	CLO	EBIRD	OBS1399103306				CC_BY_4_0		obsr1301114			2023-08-25T15:52:42.177Z		CONTINENT_DERIVED_FROM_COORDINATES
4397094663	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1581341372	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax auritus		SPECIES	Nannopterum auritum (R.P.Lesson, 1831)	Nannopterum auritum		US	Sound View Park	New York	PRESENT	5	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-12-14T00:00:00	14	12	2022	9275717	2481875	HUMAN_OBSERVATION	CLO	EBIRD	OBS1581341372				CC_BY_4_0		obsr806887			2023-08-25T15:24:42.458Z		CONTINENT_DERIVED_FROM_COORDINATES
4397014963	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1589755821	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis cardinalis		SPECIES	Cardinalis cardinalis (Linnaeus, 1758)	Cardinalis cardinalis		US	Sound View Park	New York	PRESENT	13	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-12-26T00:00:00	26	12	2022	2490384	2490384	HUMAN_OBSERVATION	CLO	EBIRD	OBS1589755821				CC_BY_4_0		obsr59592			2023-08-25T15:55:05.732Z		CONTINENT_DERIVED_FROM_COORDINATES
4397009981	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1482972616	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus brachyrhynchos		SPECIES	Corvus brachyrhynchos C.L.Brehm, 1822	Corvus brachyrhynchos		US	Bronx River, Mouth to Hunts Point Riverside Park	New York	PRESENT	8	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81312	-73.87059							2022-07-20T00:00:00	20	7	2022	2482507	2482507	HUMAN_OBSERVATION	CLO	EBIRD	OBS1482972616				CC_BY_4_0		obsr538954			2023-08-25T16:00:02.343Z		CONTINENT_DERIVED_FROM_COORDINATES
4396930548	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1589755810	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer domesticus		SPECIES	Passer domesticus (Linnaeus, 1758)	Passer domesticus		US	Sound View Park	New York	PRESENT	16	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-12-26T00:00:00	26	12	2022	5231190	5231190	HUMAN_OBSERVATION	CLO	EBIRD	OBS1589755810				CC_BY_4_0		obsr59592			2023-08-25T15:56:05.788Z		CONTINENT_DERIVED_FROM_COORDINATES
4396729696	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1548625283	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizelloides	Spizelloides arborea		SPECIES	Spizelloides arborea (A.Wilson, 1810)	Spizelloides arborea		US	Sound View Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-10-26T00:00:00	26	10	2022	7357320	7357320	HUMAN_OBSERVATION	CLO	EBIRD	OBS1548625283				CC_BY_4_0		obsr1371176			2023-08-25T15:25:19.910Z		CONTINENT_DERIVED_FROM_COORDINATES
4396688039	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1595370738	Animalia	Chordata	Aves	Passeriformes	Parulidae	Geothlypis	Geothlypis trichas		SPECIES	Geothlypis trichas (Linnaeus, 1766)	Geothlypis trichas		US	Sound View Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.81709	-73.87536							2022-10-25T00:00:00	25	10	2022	2489670	2489670	HUMAN_OBSERVATION	CLO	EBIRD	OBS1595370738				CC_BY_4_0		obsr1371176			2023-08-25T15:25:03.993Z		CONTINENT_DERIVED_FROM_COORDINATES
