"","order","family","genus","species","commonNames"
"1","Passeriformes","Passeridae","Passer","Passer domesticus","house sparrow"
"2","Piciformes","Picidae","Dryobates","Dryobates pubescens","downy woodpecker"
"3","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata","blue jay"
"4","Passeriformes","Turdidae","Turdus","Turdus migratorius","american robin"
"5","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia albicollis","white throated sparrow"
"6","Passeriformes","Passerellidae","Junco","Junco hyemalis","dark eyed junco"
"7","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus","house finch"
"8","Passeriformes","Mimidae","Mimus","Mimus polyglottos","northern mockingbird"
"9","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","european starling"
"10","Passeriformes","Fringillidae","Spinus","Spinus tristis","american goldfinch"
"11","Anseriformes","Anatidae","Anas","Anas platyrhynchos","mallard"
"12","Passeriformes","Passerellidae","Melospiza","Melospiza melodia","song sparrow"
"13","Anseriformes","Anatidae","Cairina","Cairina moschata","muscovy duck"
"14","Piciformes","Picidae","Colaptes","Colaptes auratus","northern flicker"
"15","Columbiformes","Columbidae","Columba","Columba livia","rock pigeon"
"16","Gruiformes","Rallidae","Fulica","Fulica americana","american coot"
"17","Anseriformes","Anatidae","Spatula","Spatula clypeata","northern shoveler"
"18","Anseriformes","Anatidae","Branta","Branta canadensis","canada goose"
"19","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis","ruddy duck"
"20","Piciformes","Picidae","Melanerpes","Melanerpes carolinus","red bellied woodpecker"
"21","Passeriformes","Paridae","Poecile","Poecile atricapillus","black capped chickadee"
"22","Passeriformes","Paridae","Baeolophus","Baeolophus bicolor","tufted titmouse"
"23","Passeriformes","Passerellidae","Passerella","Passerella iliaca","fox sparrow"
"24","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis","northern cardinal"
"25","Columbiformes","Columbidae","Zenaida","Zenaida macroura","mourning dove"
"26","Anseriformes","Anatidae","Anas","Anas carolinensis","green winged teal"
"27","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis","red tailed hawk"
"28","Piciformes","Picidae","Sphyrapicus","Sphyrapicus varius","yellow bellied sapsucker"
"29","Passeriformes","Mimidae","Dumetella","Dumetella carolinensis","gray catbird"
"30","Passeriformes","Passerellidae","Spizella","Spizella passerina","chipping sparrow"
"31","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos","american crow"
"32","Passeriformes","Parulidae","Mniotilta","Mniotilta varia","black and white warbler"
"33","Passeriformes","Tyrannidae","Sayornis","Sayornis phoebe","eastern phoebe"
"34","Passeriformes","Parulidae","Parkesia","Parkesia noveboracensis","northern waterthrush"
"35","Pelecaniformes","Ardeidae","Ardea","Ardea herodias","great blue heron"
"36","Passeriformes","Parulidae","Geothlypis","Geothlypis trichas","common yellowthroat"
"37","Passeriformes","Icteridae","Quiscalus","Quiscalus quiscula","common grackle"
"38","Anseriformes","Anatidae","Anas","Anas rubripes","american black duck"
"39","Passeriformes","Parulidae","Setophaga","Setophaga coronata","yellow rumped warbler"
"40","Passeriformes","Regulidae","Regulus","Regulus satrapa","golden crowned kinglet"
"41","Anseriformes","Anatidae","Aix","Aix sponsa","wood duck"
"42","Coraciiformes","Cerylidae","Megaceryle","Megaceryle alcyon","belted kingfisher"
"43","Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus","red winged blackbird"
"44","Passeriformes","Parulidae","Setophaga","Setophaga pinus","pine warbler"
"45","Piciformes","Picidae","Picoides","Picoides villosus","hairy woodpecker"
"46","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo","wild turkey"
"47","Passeriformes","Certhiidae","Thryothorus","Thryothorus ludovicianus","carolina wren"
"48","Passeriformes","Parulidae","Seiurus","Seiurus aurocapilla","ovenbird"
"49","Passeriformes","Parulidae","Setophaga","Setophaga caerulescens","black throated blue warbler"
"50","Passeriformes","Turdidae","Catharus","Catharus fuscescens","veery"
"51","Charadriiformes","Laridae","Larus","Larus argentatus","herring gull"
"52","Charadriiformes","Laridae","Larus","Larus marinus","great black backed gull"
"53","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax auritus","double crested cormorant"
"54","Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum","cedar waxwing"
"55","Anseriformes","Anatidae","Bucephala","Bucephala albeola","bufflehead"
"56","Anseriformes","Anatidae","Lophodytes","Lophodytes cucullatus","hooded merganser"
"57","Charadriiformes","Laridae","Larus","Larus delawarensis","ring billed gull"
"58","Gaviiformes","Gaviidae","Gavia","Gavia stellata","red throated loon"
"59","Anseriformes","Anatidae","Mareca","Mareca strepera","gadwall"
"60","Anseriformes","Anatidae","Aythya","Aythya affinis","lesser scaup"
"61","Anseriformes","Anatidae","Aythya","Aythya marila","greater scaup"
"62","Falconiformes","Falconidae","Falco","Falco sparverius","american kestrel"
"63","Strigiformes","Strigidae","Bubo","Bubo virginianus","great horned owl"
"64","Accipitriformes","Cathartidae","Cathartes","Cathartes aura","turkey vulture"
"65","Gaviiformes","Gaviidae","Gavia","Gavia immer","common loon"
"66","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus","bald eagle"
"67","Anseriformes","Anatidae","Aythya","Aythya collaris","ring necked duck"
"68","Falconiformes","Falconidae","Falco","Falco peregrinus","peregrine falcon"
"69","Anseriformes","Anatidae","Aythya","Aythya americana","redhead"
"70","Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata","orange crowned warbler"
"71","Anseriformes","Anatidae","Cygnus","Cygnus olor","mute swan"
"72","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus","monk parakeet"
"73","Pelecaniformes","Ardeidae","Ardea","Ardea alba","great egret"
"74","Passeriformes","Passerellidae","Spizella","Spizella pusilla","field sparrow"
"75","Passeriformes","Parulidae","Setophaga","Setophaga palmarum","palm warbler"
"76","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","osprey"
