park,mean_ndvi,ndvi_bins,n,percent_ndvi_bin
CentralPark,0.6843390557003831,0.05,15994,1.9340951689944978
CentralPark,0.6843390557003831,0.1,10962,1.325594050426265
CentralPark,0.6843390557003831,0.15,11845,1.4323719692847208
CentralPark,0.6843390557003831,0.2,13478,1.6298446097103816
CentralPark,0.6843390557003831,0.25,18020,2.1790918435213738
CentralPark,0.6843390557003831,0.3,19805,2.394945280851321
CentralPark,0.6843390557003831,0.35,25326,3.0625793578813716
CentralPark,0.6843390557003831,0.4,27611,3.3388959429227887
CentralPark,0.6843390557003831,0.45,33206,4.015478565814137
CentralPark,0.6843390557003831,0.5,36750,4.444041356793035
CentralPark,0.6843390557003831,0.55,36075,4.3624161073825505
CentralPark,0.6843390557003831,0.6,44757,5.412298204244513
CentralPark,0.6843390557003831,0.65,40459,4.892556986516718
CentralPark,0.6843390557003831,0.7,48354,5.847270088880827
CentralPark,0.6843390557003831,0.75,43303,5.236471370699559
CentralPark,0.6843390557003831,0.8,52131,6.304008706693271
CentralPark,0.6843390557003831,0.85,63658,7.697926114033496
CentralPark,0.6843390557003831,0.9,53793,6.504988209686196
CentralPark,0.6843390557003831,0.95,45325,5.480984340044743
CentralPark,0.6843390557003831,1,186098,22.504141725618236
Crotona,0.6017386521467563,0.05,3211,3.4832508895252974
Crotona,0.6017386521467563,0.1,1942,2.1066562527119674
Crotona,0.6017386521467563,0.15,2232,2.421244467586566
Crotona,0.6017386521467563,0.2,1928,2.091469235442159
Crotona,0.6017386521467563,0.25,2365,2.565521131649744
Crotona,0.6017386521467563,0.3,2635,2.8584136075674738
Crotona,0.6017386521467563,0.35,3046,3.3042610431311292
Crotona,0.6017386521467563,0.4,3084,3.34548294714918
Crotona,0.6017386521467563,0.45,4017,4.357589169487112
Crotona,0.6017386521467563,0.5,4677,5.073548555063785
Crotona,0.6017386521467563,0.55,4755,5.158161936995574
Crotona,0.6017386521467563,0.6,6081,6.596589429835981
Crotona,0.6017386521467563,0.65,5442,5.90341057016402
Crotona,0.6017386521467563,0.7,7194,7.803957302785733
Crotona,0.6017386521467563,0.75,7058,7.656426277879024
Crotona,0.6017386521467563,0.8,8324,9.029766553848823
Crotona,0.6017386521467563,0.85,8887,9.640501605484683
Crotona,0.6017386521467563,0.9,6341,6.878634036275276
Crotona,0.6017386521467563,0.95,4103,4.450880847001649
Crotona,0.6017386521467563,1,4862,5.274234140414823
Highbridge,0.5692350151833784,0.05,17870,4.437590639092517
Highbridge,0.5692350151833784,0.1,11267,2.7978922065280014
Highbridge,0.5692350151833784,0.15,10738,2.6665276039493815
Highbridge,0.5692350151833784,0.2,10962,2.7221526908635796
Highbridge,0.5692350151833784,0.25,12973,3.22153684168703
Highbridge,0.5692350151833784,0.3,13337,3.311927607922602
Highbridge,0.5692350151833784,0.35,16299,4.047470051850528
Highbridge,0.5692350151833784,0.4,17194,4.269722073226453
Highbridge,0.5692350151833784,0.45,20228,5.0231440093768
Highbridge,0.5692350151833784,0.5,21878,5.432882372807279
Highbridge,0.5692350151833784,0.55,21164,5.255577408268272
Highbridge,0.5692350151833784,0.6,26086,6.477839362695432
Highbridge,0.5692350151833784,0.65,21908,5.440332161233288
Highbridge,0.5692350151833784,0.7,27218,6.758944712636827
Highbridge,0.5692350151833784,0.75,25645,6.368327472833105
Highbridge,0.5692350151833784,0.8,34721,8.622136797981604
Highbridge,0.5692350151833784,0.85,35437,8.799938415082345
Highbridge,0.5692350151833784,0.9,17261,4.2863599340445395
Highbridge,0.5692350151833784,0.95,11883,2.9508611955420467
Highbridge,0.5692350151833784,1,28627,7.1088364423783705
InwoodHill,0.712548431079991,0.05,1073,1.013143483023001
InwoodHill,0.712548431079991,0.1,1164,1.099067114854402
InwoodHill,0.712548431079991,0.15,992,0.9366620085357102
InwoodHill,0.712548431079991,0.2,1021,0.9640442648336291
InwoodHill,0.712548431079991,0.25,1363,1.2869660460021906
InwoodHill,0.712548431079991,0.3,1467,1.3851644823809344
InwoodHill,0.712548431079991,0.35,1712,1.6164973373116291
InwoodHill,0.712548431079991,0.4,1866,1.7619065604109228
InwoodHill,0.712548431079991,0.45,2039,1.9252558824640256
InwoodHill,0.712548431079991,0.5,2004,1.8922083317596403
InwoodHill,0.712548431079991,0.55,1846,1.7430222457227025
InwoodHill,0.712548431079991,0.6,2996,2.828870340295351
InwoodHill,0.712548431079991,0.65,4840,4.570004154549231
InwoodHill,0.712548431079991,0.7,9582,9.047475167126183
InwoodHill,0.712548431079991,0.75,13542,12.786569475393739
InwoodHill,0.712548431079991,0.8,20310,19.177021565887372
InwoodHill,0.712548431079991,0.85,17045,16.094157193035468
InwoodHill,0.712548431079991,0.9,8873,8.378026211428788
InwoodHill,0.712548431079991,0.95,5283,4.988291724893304
InwoodHill,0.712548431079991,1,6890,6.505646410091778
Morningside,0.5612670040102344,0.05,1383,3.356144437973209
Morningside,0.5612670040102344,0.1,1177,2.8562415065035913
Morningside,0.5612670040102344,0.15,1224,2.9702970297029703
Morningside,0.5612670040102344,0.2,1228,2.980003882741215
Morningside,0.5612670040102344,0.25,1465,3.5551349252572315
Morningside,0.5612670040102344,0.3,1492,3.6206561832653854
Morningside,0.5612670040102344,0.35,1843,4.472432537371384
Morningside,0.5612670040102344,0.4,1867,4.530673655600855
Morningside,0.5612670040102344,0.45,2235,5.423704135119394
Morningside,0.5612670040102344,0.5,2570,6.236653077072414
Morningside,0.5612670040102344,0.55,2456,5.96000776548243
Morningside,0.5612670040102344,0.6,2790,6.770529994175887
Morningside,0.5612670040102344,0.65,2413,5.855659095321297
Morningside,0.5612670040102344,0.7,2805,6.806930693069307
Morningside,0.5612670040102344,0.75,2519,6.1128907008347895
Morningside,0.5612670040102344,0.8,2561,6.214812657736362
Morningside,0.5612670040102344,0.85,2705,6.5642593671131815
Morningside,0.5612670040102344,0.9,1960,4.75635798874005
Morningside,0.5612670040102344,0.95,1493,3.6230828965249464
Morningside,0.5612670040102344,1,3022,7.333527470394098
PelhamBaySouth,0.6030235685554861,0.05,2196,0.8956867543591313
