Unit,Group Name/Partner,Date and Time,Borough,LocationType,Park,Event Name,EventType,Category,Classification,Attendance,Audience,acres,Attendance_acre
Recreation,NA,06/22/2019 08:00:00 PM,Bronx,Park,Van Cortlandt Park,Creed 2,Community Based Event,Mobile Unit,M.U.T.S,190,General Public,1146.43,0.1657318807079368
Recreation,NA,06/21/2019 08:00:00 PM,Bronx,Park,Soundview Park,Spider-Man:Into the Spider-Verse,Community Based Event,Mobile Unit,M.U.T.S,45,General Public,205.31,0.21918075105937362
Urban Park Rangers,NYC Parks Central Recreation,06/15/2019 11:00:00 AM,Manhattan,Park,Central Park,Adventures NYC,Agency Produced Event,Sport,NA,5000,Children;#Young Adult;#Adults;#Teens,842.6,5.9340137669119395
Recreation,NA,07/11/2019 08:30:00 PM,Bronx,Park,Soundview Park,Hotel Transylvania 3: Summer Vactaion,Community Based Event,Mobile Unit,M.U.T.S,0,General Public,205.31,0
Recreation,NA,07/10/2019 08:30:00 PM,Bronx,Park,Van Cortlandt Park,First Man,Community Based Event,Mobile Unit,M.U.T.S,40,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,1146.43,0.03489092225430249
Recreation,NA,06/23/2018 08:30:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Moana,Community Based Event,Mobile Unit,Movies,42,General Public,127.5,0.32941176470588235
Recreation,NA,07/12/2019 07:00:00 PM,Manhattan,Park,Morningside Park,MUTS: Mamma Mia! Here We Go Again,Community Based Event,Mobile Unit,M.U.T.S,450,General Public,29.888,15.056209850107065
Recreation,Sinergia Inc.,06/28/2019 11:00:00 AM,Manhattan,Park,Morningside Park,Play Mobile,Community Based Event,Mobile Unit,Play,100,Teens;#Children;#Tot,29.888,3.3458244111349034
Recreation,NA,07/19/2019 10:30:00 AM,Manhattan,Park,Morningside Park,Play Mobile,Community Based Event,Mobile Unit,Play,60,Tot;#Children;#Teens,29.888,2.007494646680942
Recreation,NA,07/08/2019 10:30:00 AM,Manhattan,Park,Morningside Park,Play Mobile,Community Based Event,Mobile Unit,Play,150,Tot;#Children;#Teens,29.888,5.0187366167023555
Recreation,NA,07/26/2019 08:00:00 PM,Manhattan,Park,Morningside Park,MUTS: Mary Poppins Returns,Community Based Event,Mobile Unit,M.U.T.S,278,General Public,29.888,9.30139186295503
Recreation,NA,07/13/2019 11:00:00 AM,Bronx,Park,Pelham Bay Park,Family Fun Day,Agency Produced Event,Mobile Unit,Play,30,General Public,2771.747,0.01082349868151747
Recreation,NA,07/23/2019 09:00:00 AM,Bronx,Park,Van Cortlandt Park,Harmony Day,Community Based Event,Mobile Unit,Play,600,General Public,1146.43,0.5233638338145373
Recreation,NA,05/04/2019 11:00:00 AM,Bronx,Park,Pelham Bay Park,Learn To Ride,Agency Produced Event,Family Festival,NA,5,Children,2771.747,0.0018039164469195782
Recreation,NA,08/10/2019 08:30:00 PM,Bronx,Park,Crotona Park,Wonder Park,Community Based Event,Mobile Unit,M.U.T.S,120,General Public,127.5,0.9411764705882353
Recreation,NA,08/09/2019 08:30:00 PM,Bronx,Park,Pelham Bay Park,Ralph Breaks the Internet,Community Based Event,Mobile Unit,M.U.T.S,90,General Public,2771.747,0.03247049604455241
Urban Park Rangers,NYC Wildflower Week; Office of Congresswoman Alexandria Ocasio Cortez,08/31/2019 11:00:00 AM,Bronx,Park,Pelham Bay Park,Pelham Bay Nature Day,Community Based Event,Family Festival,NA,200,General Public,2771.747,0.07215665787678313
Urban Park Rangers,NYPD,08/06/2019 03:00:00 PM,Manhattan,Park,Highbridge Park,National Night Out Against Crime,Community Based Event,Family Festival,NA,180,General Public,131,1.3740458015267176
Recreation,NA,08/02/2019 07:00:00 PM,Manhattan,Park,Morningside Park,MUTS: Second Act,Community Based Event,Mobile Unit,M.U.T.S,280,General Public,29.888,9.36830835117773
Recreation,NA,09/19/2019 02:30:00 PM,Bronx,Park,Pelham Bay Park,Community Engagement,Agency Produced Event,Mobile Unit,Play,30,Tot;#Children;#Teens,2771.747,0.01082349868151747
Urban Park Rangers,Van Cortlandt House Museum,09/21/2019 11:00:00 AM,Bronx,Park,Van Cortlandt Park,Van Cortlandt House Museum Second Annual History and Culture Fair,Local Event,Arts/Culture,NA,30,General Public,1146.43,0.026168191690726865
Urban Park Rangers,Pelham Bay Park Special Events,09/29/2019 12:00:00 PM,Bronx,Park,Pelham Bay Park,The Bronx Native American Festival,Community Based Event,Arts/Culture,NA,105,General Public,2771.747,0.037882245385311146
Recreation,NYC Parks,09/25/2019 10:00:00 AM,Manhattan,Playground,Morningside Park,Activities for the Kids,Agency Produced Event,Mobile Unit,Play,66,Children;#Tot,29.888,2.2082441113490363
Urban Park Rangers,Urban Park Rangers and Ametuer Astronomers Association,09/07/2019 07:00:00 PM,Manhattan,Park,Central Park,Star Fest,Community Based Event,Nature,NA,350,Young Adult;#Children;#Adults;#Teens;#General Public;#Seniors,842.6,0.41538096368383576
Recreation,NA,09/26/2019 07:00:00 PM,Manhattan,Park,Inwood Hill Park,Movies Under the Stars: My Little Pony the Movie,Community Based Event,Mobile Unit,M.U.T.S,10,General Public,196.398,0.05091701544822249
Recreation,NYC Parks,10/05/2019 10:00:00 AM,Manhattan,Park,Highbridge Park,Summer on the Hudson Little Red Light Festival,Agency Produced Event,Mobile Unit,Play,100,General Public,131,0.7633587786259542
Urban Park Rangers,NYC Audubon,12/15/2019 08:00:00 AM,Manhattan,Park,Central Park,Christmas Bird Count,Community Based Event,Nature,NA,150,General Public,842.6,0.17802041300735819
Urban Park Rangers,Urban Park Rangers,09/14/2019 12:00:00 PM,Manhattan,Park,Central Park,Raptor Fest,Agency Produced Event,Family Festival,NA,4000,General Public,842.6,4.747211013529551
