scientific,common,year,id,geometry,park
Platanus x acerifolia , London planetree,2023,NA,"c(1827653.26800037, 2185474.222616)",CentralPark
Quercus palustris , pin oak,2023,NA,"c(1827255.02357121, 2187044.30615815)",CentralPark
Quercus palustris , pin oak,2023,NA,"c(1827266.35890091, 2187083.69692809)",CentralPark
Platanus x acerifolia , London planetree,2023,NA,"c(1827640.77287108, 2185514.09780209)",CentralPark
Quercus palustris , pin oak,2022,NA,"c(1827520.09857885, 2188012.98836671)",CentralPark
Quercus palustris , pin oak,2022,NA,"c(1827516.42556054, 2187998.84373463)",CentralPark
Pseudotsuga menziesii , Douglas,2021,NA,"c(1827731.98197938, 2187160.58121888)",CentralPark
Crataegus , Hawthorn,2021,NA,"c(1827128.76792968, 2186160.16626569)",CentralPark
Tsuga canadensis , eastern hemlock,2021,NA,"c(1828313.95697585, 2189156.83516317)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828305.95235023, 2189113.49585053)",CentralPark
Malus , apple,2021,NA,"c(1828388.86407199, 2189228.94138565)",CentralPark
Betula pendula , European white birch,2021,NA,"c(1827428.25009806, 2185710.65848353)",CentralPark
Malus , apple,2021,NA,"c(1828291.19218508, 2189191.87644413)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828322.67055792, 2189126.68990881)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828365.73341781, 2189162.86673806)",CentralPark
Quercus palustris , pin oak,2021,NA,"c(1828324.94294451, 2189121.00455385)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828425.70815685, 2189233.31421933)",CentralPark
Malus , apple,2021,NA,"c(1828289.07450968, 2189175.26727649)",CentralPark
Carya glabra , pignut hickory,2021,NA,"c(1828286.79221336, 2189131.06051362)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828395.84844645, 2189184.1641689)",CentralPark
Malus , apple,2021,NA,"c(1828292.26430241, 2189182.1951756)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828325.53019745, 2189125.90843223)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828351.45015421, 2189144.59173633)",CentralPark
Juglans nigra , black walnut,2021,NA,"c(1828342.81846491, 2189147.83418014)",CentralPark
Pinus nigra , Austrian pine,2021,NA,"c(1828397.99075623, 2189185.2385569)",CentralPark
Malus , apple,2021,NA,"c(1828312.01008473, 2189161.09365132)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828314.37642227, 2189148.79360178)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828295.51111498, 2189214.01197968)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828432.41388, 2189237.12791537)",CentralPark
Quercus palustris , pin oak,2021,NA,"c(1828401.06744532, 2189235.77095431)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828299.8244461, 2189148.90108375)",CentralPark
Morus , mulberry,2021,NA,"c(1828436.90328131, 2189268.00456893)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828321.68187302, 2189124.81167416)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828309.40152506, 2189148.25388956)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828361.34988216, 2189158.16094634)",CentralPark
Salix babylonica , Weeping willow,2021,NA,"c(1828422.24699805, 2189262.36729501)",CentralPark
Malus , apple,2021,NA,"c(1828289.93641148, 2189187.94968776)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828427.43459662, 2189242.75950975)",CentralPark
Malus , apple,2021,NA,"c(1828301.4838501, 2189210.33587165)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828298.349953, 2189118.03224415)",CentralPark
Malus , apple,2021,NA,"c(1828389.91580552, 2189226.19506182)",CentralPark
Robinia pseudoacacia , black locust,2021,NA,"c(1828481.12641419, 2189305.69564625)",CentralPark
Malus , apple,2021,NA,"c(1828291.16871466, 2189185.36086037)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828357.88510635, 2189153.84899312)",CentralPark
Carpinus caroliniana , American hornbeam,2021,NA,"c(1828426.23568906, 2189247.4238937)",CentralPark
Malus , apple,2021,NA,"c(1828290.97496433, 2189131.79316779)",CentralPark
Platanus x acerifolia , London planetree,2021,NA,"c(1828366.45002633, 2189165.84308993)",CentralPark
Malus , apple,2021,NA,"c(1828288.506707, 2189184.41038662)",CentralPark
Acer pseudoplatanus , sycamore maple,2021,NA,"c(1828317.22170291, 2189261.14581124)",CentralPark
Robinia pseudoacacia , black locust,2021,NA,"c(1827421.59693864, 2185726.67462945)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828296.40892918, 2189115.70804225)",CentralPark
Prunus virginiana , chokecherry,2021,NA,"c(1828440.2982611, 2189262.90300893)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828392.76899884, 2189182.65891197)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828315.97448352, 2189162.62620999)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828303.66257395, 2189146.99578917)",CentralPark
Malus , apple,2021,NA,"c(1828290.74704794, 2189178.75176116)",CentralPark
Thuja occidentalis , arborvitae,2021,NA,"c(1828297.12143991, 2189146.74449559)",CentralPark
Malus , apple,2021,NA,"c(1828288.82968047, 2189181.61278155)",CentralPark
Tsuga canadensis , eastern hemlock,2021,NA,"c(1827424.75740981, 2185725.17131094)",CentralPark
Malus , apple,2021,NA,"c(1828332.66515868, 2189155.75811919)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828421.6389158, 2189229.00712876)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828279.68913913, 2189184.97234857)",CentralPark
Celtis occidentalis , common hackberry,2021,NA,"c(1828452.21540161, 2189259.06706367)",CentralPark
Metasequoia glyptostroboides , dawn redwood,2021,NA,"c(1828397.16586396, 2189237.54089663)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2021,NA,"c(1827701.61410752, 2185719.44749739)",CentralPark
Fagus grandifolia , American beech,2021,NA,"c(1828318.60031264, 2189116.17707254)",CentralPark
Malus , apple,2021,NA,"c(1828292.33472545, 2189189.65391906)",CentralPark
Crataegus , Hawthorn,2021,NA,"c(1828327.69914271, 2189119.34200351)",CentralPark
Thuja occidentalis , arborvitae,2021,NA,"c(1828318.03593373, 2189154.69279192)",CentralPark
Acer platanoides , Norway maple,2020,NA,"c(1826888.01519583, 2185703.36735377)",CentralPark
Quercus coccinea , scarlet oak,2020,NA,"c(1827116.30981865, 2186528.7606596)",CentralPark
Phellodendron amurense , Amur corktree,2019,NA,"c(1827536.8652668, 2188027.12358641)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827886.88398063, 2186979.47992637)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827654.31075941, 2185732.81263413)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827895.7062071, 2186984.33888306)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827654.9541934, 2185771.07081798)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827916.88775401, 2186977.23136002)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827899.10158559, 2186975.11709217)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827712.93332146, 2185716.06236785)",CentralPark
Amelanchier , serviceberry,2019,NA,"c(1827905.39851281, 2186984.82458615)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828213.32169344, 2187505.10266203)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828213.67562828, 2187520.46956098)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828208.77603509, 2187512.66684445)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828211.33398323, 2187510.39119972)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827717.61481747, 2185693.26823784)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827803.49716305, 2185892.76462404)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827702.03187217, 2185502.29398109)",CentralPark
Quercus palustris , pin oak,2018,NA,"c(1826947.84177461, 2185922.86545195)",CentralPark
Quercus palustris , pin oak,2018,NA,"c(1827800.99926774, 2189028.34958655)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827779.42896687, 2185800.0283811)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827734.61103606, 2185635.6690002)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1827697.64418052, 2185747.54557698)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1827673.69326898, 2185727.37077206)",CentralPark
Ailanthus altissima , tree of heaven,2018,NA,"c(1827681.53453928, 2185696.04719854)",CentralPark
Platanus x acerifolia , London planetree,2017,NA,"c(1827753.82215589, 2186604.66757502)",CentralPark
Quercus rubra , northern red oak,2017,NA,"c(1827483.50414292, 2186382.73298408)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827088.76323191, 2186175.05109638)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827093.58530566, 2186169.74519109)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827099.95002515, 2186165.89949121)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827085.31060878, 2186183.69536534)",CentralPark
Quercus , Oak,2017,NA,"c(1826944.62189398, 2185912.51146844)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827079.49247562, 2186188.08111249)",CentralPark
Morus , mulberry,2017,NA,"c(1827490.88667381, 2187868.78044218)",CentralPark
Quercus palustris 'Green Pillar' , 'Green Pillar' Pin oak,2017,NA,"c(1827268.74436762, 2187097.05594915)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828687.82940779, 2189382.82146692)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828610.2642848, 2189402.29929683)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828284.92582641, 2189499.14020394)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828488.54204399, 2189440.64637426)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828735.6867416, 2189275.07498015)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828682.37867807, 2189090.72946254)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828369.97017331, 2189474.12940485)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828633.42103645, 2188911.37435759)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828023.21681135, 2189571.72514691)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828317.59827498, 2189486.50008789)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828687.05142652, 2189096.90163561)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828118.15660725, 2189544.47655163)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828654.83223254, 2188978.86762475)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828485.05724098, 2188370.2426538)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828716.78584697, 2189371.3910156)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828593.55854655, 2188765.33806507)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828517.89014458, 2189432.13076354)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828638.21339818, 2189394.18964264)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828390.50178066, 2189465.05988823)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828426.13245011, 2189457.61253746)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828678.20212339, 2189075.42887688)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828160.97426643, 2189532.18754827)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828048.70906896, 2189564.40867398)",CentralPark
Quercus palustris , pin oak,2016,NA,"c(1826979.7756016, 2186040.68355615)",CentralPark
